                                                   |                        ASMT                        |                   CLOSE_BRACKET                    |                       COMMA                        |                     DATA_TYPE                      |                        ELSE                        |                        FOR                         |                     HIGH_ARITH                     |                     IDENTIFIER                     |                         IF                         |                      LITERAL                       |                     LOGICAL_OP                     |                     LOW_ARITH                      |                        MAIN                        |                      NEWLINE                       |                       NUMBER                       |                       NUMER                        |                         OP                         |                    OPEN_BRACKET                    |                     OP_NEWLINE                     |                       REL_OP                       |                       RETURN                       |                     SEMI_COLON                     |                        TAB                         |                         $                          | 
                    ITERATIVE                      |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | ITERATIVE = for open_bracket ASSIGNMENT_STATEMENT semi_colon LOGICAL_EXPRESSION semi_colon OPS number close_bracket newline STATEMENTS |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                LOGICAL_EXPRESSION                 |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | LOGICAL_EXPRESSION = RELATIONAL_EXPRESSION RELATIONAL_EXPRESSION |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        | LOGICAL_EXPRESSION = RELATIONAL_EXPRESSION RELATIONAL_EXPRESSION |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                       MAIN                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |           MAIN = main newline STATEMENTS           |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        | 
                       OPS                         |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                  OPS = high_arith                  |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                  OPS = low_arith                   |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | 
                  PARAMETER_LIST                   |                        skip                        |                        sync                        |                        skip                        | PARAMETER_LIST = data_type identifier comma PARAMETER_LIST |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | 
                     PROGRAM                       |                        skip                        |                        skip                        |                        skip                        |              PROGRAM = FUNCTIONS MAIN              |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                   PROGRAM = MAIN                   |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        | 
              RELATIONAL_EXPRESSION                |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | RELATIONAL_EXPRESSION = ARITHMETIC_EXPRESSION rel_op ARITHMETIC_EXPRESSION |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        | RELATIONAL_EXPRESSION = ARITHMETIC_EXPRESSION rel_op ARITHMETIC_EXPRESSION |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
              RELATIONAL_EXPRESSIONS               |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | RELATIONAL_EXPRESSIONS = logical_op RELATIONAL_EXPRESSION |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | 
                   RETURN_TYPE                     |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |          RETURN_TYPE = return EXPRESSION           |                        sync                        |                        skip                        |                        skip                        | 
                    STATEMENT                      |                        skip                        |                        skip                        |                        skip                        |          STATEMENT = ASSIGNMENT_STATEMENT          |                        skip                        |               STATEMENT = ITERATIVE                |                        skip                        |          STATEMENT = ASSIGNMENT_STATEMENT          |              STATEMENT = CONDITIONAL               |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |             STATEMENT = op EXPRESSION              |                        skip                        |               STATEMENT = op_newline               |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                    STATEMENTS                     |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |   STATEMENTS = tab STATEMENT semi_colon newline    |                        sync                        | 
                       TERM                        |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                   TERM = FACTOR                    |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                   TERM = FACTOR                    |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
