TOKEN STREAM                                                                                                                                                                                                                                             STACK                                   ACTION                                                            
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] [~]                   {e1} = [~]                                                        
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC]                       epsilon pop [~]                                                   
[NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                        $ {sts} [NL]                            match [SC]                                                        
[T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                             $ {sts}                                 match [NL]                                                        
[T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                             $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                 $ {sts} [NL] [SC] {st}                  match [T]                                                         
[OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                 $ {sts} [NL] [SC] {e} [OP]              {st} = [OP] {e}                                                   
[ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                      $ {sts} [NL] [SC] {e}                   match [OP]                                                        
[ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                      $ {sts} [NL] [SC] {e1} {ha} {t}         {e} = {t} {ha} {e1}                                               
[ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                      $ {sts} [NL] [SC] {e1} {ha} {ht} {f}    {t} = {f} {ht}                                                    
[ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                      $ {sts} [NL] [SC] {e1} {ha} {ht} [ID]   {f} = [ID]                                                        
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] {e1} {ha} {ht}        match [ID]                                                        
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] {e1} {ha} [~]         {ht} = [~]                                                        
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] {e1} {ha}             epsilon pop [~]                                                   
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] {e1} [~]              {ha} = [~]                                                        
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] {e1}                  epsilon pop [~]                                                   
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC] [~]                   {e1} = [~]                                                        
[SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                           $ {sts} [NL] [SC]                       epsilon pop [~]                                                   
[NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                                                $ {sts} [NL]                            match [SC]                                                        
[T] [ON] [SC] [NL] $                                                                                                                                                                                                                                     $ {sts}                                 match [NL]                                                        
[T] [ON] [SC] [NL] $                                                                                                                                                                                                                                     $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[ON] [SC] [NL] $                                                                                                                                                                                                                                         $ {sts} [NL] [SC] {st}                  match [T]                                                         
[ON] [SC] [NL] $                                                                                                                                                                                                                                         $ {sts} [NL] [SC] [ON]                  {st} = [ON]                                                       
[SC] [NL] $                                                                                                                                                                                                                                              $ {sts} [NL] [SC]                       match [ON]                                                        
[NL] $                                                                                                                                                                                                                                                   $ {sts} [NL]                            match [SC]                                                        
$                                                                                                                                                                                                                                                        $ {sts}                                 match [NL]                                                        
$                                                                                                                                                                                                                                                        $ [~]                                   {sts} = [~]                                                       
$                                                                                                                                                                                                                                                        $                                       epsilon pop [~]                                                   
                                                                                                                                                                                                                                                                                                 matched. PARSING COMPLETE                                         
