TOKEN STREAM                                                                                                                                                                                                                                             STACK                                   ACTION                                                            
[T] [DT] [NL] [T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                             $ {sts}                                 match [NL]                                                        
[T] [DT] [NL] [T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                             $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[DT] [NL] [T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                 $ {sts} [NL] [SC] {st}                  match [T]                                                         
[DT] [NL] [T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                 $ {sts} [NL] [SC] {st1} [ID] [DT]       {st} = [DT] [ID] {st1}                                            
[NL] [T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                      $ {sts} [NL] [SC] {st1} [ID]            match [DT]                                                        
[T] [DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                           $ {sts} [NL] [SC] {st1} [ID]            ******skip******                                                  
[DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                               $ {sts} [NL] [SC] {st1} [ID]            ******skip******                                                  
[DT] [ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                               $ {sts} [NL] [SC] {st1}                 ******sync******                                                  
[ID] [AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                    $ {sts} [NL] [SC] {st1}                 ******skip******                                                  
[AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                         $ {sts} [NL] [SC] {st1}                 ******skip******                                                  
